cust_id,AVARAGE _INTER_BOUNCE_TIME,salary of customer,FIRST 3 MONTH_BOUNCE_RATIO,FIRST_MONTH_BOUNCE,LATEST 3 MONTH_BOUNCE_RATIO,LATEST 3 MONTH_CLEAR_RATIO,LATEST_3 MONTHONTH_AVARAGE UNIQ_INTENSITY,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_GT15D,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_LQ15D,LATEST_MONTH_BOUNCE,LATEST_MONTH_FIRST_FOLLOWUP_DAY,LATEST_MONTH_LAST_FOLLOWUP_DAY,LATEST_MONTH_UNIQ_INTENSITY,month on book,NEVER_BOUNCE_FLAG,NUMBER OF TIME_BANK_CLEAR,NUMBER OF TIME_BOUNCE_PAID_BY_ END OF THE MONTH,NUMBER OF TIME_BOUNCES_LATEST_25PT,NUMBER OF TIME_CLEAR,number of deviations customer have at time of disbursal. ,Median day Offline payment  (like manual or mobility app payment)number of receipt cut,On which day receipt cut has been done,median receipt cut in last 6 month,remaining tenure of customer,RATE OF INTEREST,total number of dre receipt cut,TOTAL_OUTSTANDING_BALANCE LIVE_TRACTOR LOAN,number of unique receipt cut
cust4108,4,301617,1,1,1,0,4,1,1,1,0,0,0,0,NO,0,1,2,0,0,13,31,16,21,19.58,4,,4
cust4109,0,150000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,1,9,5,9,16,20,1,,1
cust4110,0.5,1075000,1,1,1,0,4,1,0,1,25,25,4,3,NO,0,0,1,0,0,8,11,8,29,18.23,2,,2
cust4111,0,1095000,0,0,0,0,0,0,0,0,0,0,0,3,YES,0,0,0,0,1,18,24,18,55,18.29,2,,2
cust4112,0,1050000,0,0,0,0,1,1,0,0,25,25,1,2,YES,0,0,0,0,0,8,14,8,30,17.28,1,,1
cust4113,0,525000,1,1,1,0,2,0,1,1,12,17,2,2,NO,0,1,1,0,0,6,20,6,27,18,1,,1
cust4114,0,370000,1,1,1,0,3,0,1,1,12,21,3,2,NO,0,1,1,0,3,15,22,15,48,18.02,1,,1
cust4115,0,1540000,0.5,1,0.5,0.5,1,1,0,0,25,25,1,3,NO,1,1,0,1,1,10,5,10,43,17.52,1,,1
cust4116,,430000,0,,0,0,,,,,,,,1,NO,,,,,1,0,11,0,46,17.07,0,,0
cust4117,0,21500000,1,1,1,0,1,1,0,1,25,25,1,2,NO,0,1,1,0,0,10,10,10,18,17.07,1,,1
cust4118,,950000,0,,0,0,,,,,,,,1,NO,,,,,1,0,7,0,52,18.08,0,,0
cust4119,,270000,0,,0,0,,,,,,,,1,NO,,,,,1,0,6,0,45,17.43,0,,0
cust4120,,215000,0,,0,0,,,,,,,,1,NO,,,,,0,0,11,0,34,17.05,0,,0
cust4121,,263592,0,,0,0,,,,,,,,2,NO,,,,,1,0,26,0,22,26.14,0,,0
cust4122,,641072,0,,0,0,,,,,,,,1,NO,,,,,2,0,10,0,66,16.27,0,,0
cust4123,,307120,0,,0,0,,,,,,,,1,NO,,,,,0,0,5,0,15,22.02,0,,0
cust4124,,377000,0,,0,0,,,,,,,,1,NO,,,,,0,0,5,0,11,28.07,0,,0
cust4125,,263950,0,,0,0,,,,,,,,2,NO,,,,,0,0,5,0,56,16.3,0,,0
cust4126,,136042,0,,0,0,,,,,,,,1,NO,,,,,0,0,,0,23,15.56,0,,0
cust4127,0,150000,0.5,1,0.5,0.5,2,1,1,0,12,17,2,3,NO,1,1,0,1,0,4,5,4,15,22.22,1,,1
cust4128,0,540000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,2,25,27,25,32,20.87,1,,1
cust4129,,217075,0,,0,0,,,,,,,,3,NO,,,,,1,0,5,0,21,30.97,0,,0
cust4130,0,1267744,0,0,0,1,0,0,0,0,0,0,0,3,YES,1,0,0,1,0,20,5,20,54,15.63,1,,1
cust4131,,120999,0,,0,0,,,,,,,,2,NO,,,,,0,0,25,0,10,25.66,0,,0
cust4132,,40724,0,,0,0,,,,,,,,1,NO,,,,,0,0,15,0,23,23.97,0,,0
